Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2019-01-01,Tuesday,08:45,69.7,11214,23.5,3774,1.5,238,5.3,857,,,,,93.2,14988,16083
2019-01-01,Tuesday,12:45,68.9,11219,21.2,3459,2.6,419,6.8,1107,0.5,76,,,90.1,14678,16280
2019-01-01,Tuesday,20:45,59.9,11231,32.1,6013,6.1,1146,1.8,345,,,,,92.0,17244,18735
2019-01-02,Wednesday,07:45,69.7,11243,21.6,3494,6.9,1119,1.7,275,,,,,91.3,14737,16131
2019-01-02,Wednesday,14:45,61.2,11228,25.7,4717,8.3,1517,4.3,786,0.4,77,0.1,27,86.9,15945,18352
2019-01-02,Wednesday,20:45,56.7,11219,29.4,5821,7.1,1397,6.4,1267,,,0.5,99,86.1,17040,19803
2019-01-03,Thursday,07:45,65.6,11209,20.2,3443,1.8,311,12.2,2091,,,,,85.8,14652,17054
2019-01-03,Thursday,14:45,59.3,11225,22.2,4196,2.5,480,15.6,2946,0.2,44,0.1,28,81.5,15421,18919
2019-01-03,Thursday,20:45,56.2,11239,25.2,5033,3.2,637,15.4,3072,,,,,81.4,16272,19981
2019-01-04,Friday,06:45,67.6,11210,18.6,3087,1.6,261,12.1,2015,,,,,86.2,14297,16573
2019-01-04,Friday,13:45,62.4,11207,21.3,3833,4.9,873,10.1,1817,1.1,198,0.2,27,83.7,15040,17955
2019-01-04,Friday,20:45,60.5,11206,28.9,5362,5.8,1066,4.7,870,,,0.1,27,89.4,16568,18531
2019-01-05,Saturday,09:45,67.1,11180,29.7,4947,0.9,146,2.3,383,,,,,96.8,16127,16656
2019-01-05,Saturday,13:45,67.3,11185,30.3,5032,0.9,157,0.9,145,0.6,104,,,97.6,16217,16623
2019-01-05,Saturday,20:45,60.6,11199,24.5,4527,0.9,166,14.1,2600,,,,,85.1,15726,18492
2019-01-06,Sunday,08:45,67.8,11178,20.9,3455,1.2,204,10.1,1658,,,,,88.7,14633,16495
2019-01-06,Sunday,12:45,67.4,11174,22.7,3759,2.0,325,6.8,1121,1.1,188,,,90.1,14933,16567
2019-01-06,Sunday,20:45,60.6,11153,31.1,5726,2.3,421,6.0,1107,,,,,91.7,16879,18407
2019-01-07,Monday,12:45,54.7,11160,27.4,5582,1.3,270,16.4,3354,0.2,34,,,82.1,16742,20400
2019-01-07,Monday,20:45,54.5,11171,24.7,5058,2.6,536,18.2,3742,,,,,79.2,16229,20507
2019-01-08,Tuesday,06:45,68.0,11192,20.3,3337,1.5,248,10.2,1671,,,,,88.3,14529,16448
2019-01-08,Tuesday,13:45,63.3,11041,24.6,4284,5.1,890,6.6,1151,0.3,50,0.2,27,87.9,15325,17443
2019-01-08,Tuesday,20:45,58.4,11215,24.0,4610,3.5,664,14.0,2693,,,,,82.4,15825,19182
2019-01-09,Wednesday,06:45,67.7,11211,19.6,3241,1.5,241,11.2,1854,,,,,87.3,14452,16547
2019-01-09,Wednesday,12:45,58.3,11206,19.4,3720,1.8,338,19.3,3702,0.1,28,1.1,212,77.7,14926,19206
2019-01-09,Wednesday,20:45,54.5,11203,23.5,4834,2.2,464,19.6,4031,,,,,78.0,16037,20532
2019-01-10,Thursday,06:45,62.5,11193,20.0,3588,1.3,237,16.0,2668,,,,,82.5,14781,17886
2019-01-10,Thursday,15:45,57.5,11181,21.6,4212,5.7,1110,14.2,2758,0.9,170,,,79.1,15393,19431
2019-01-10,Thursday,20:45,54.1,11176,28.9,5968,6.7,1382,10.2,2108,,,,,83.0,17144,20634
