Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2019-08-24,Saturday,20:45,69.9,11197,21.3,3415,6.3,1008,2.4,381,,,,,91.2,"14,612","16,001"
2019-08-25,Sunday,7:45,77.9,10692,17.4,2391,1.4,197,3.3,448,,,,,95.3,"13,083","13,728"
2019-08-25,Sunday,13:45,70.0,11018,20.1,3170,3.7,491,4.5,709,2.3,357,,,90.1,"14,188","15,745"
2019-08-25,Sunday,20:45,66.0,11146,22.5,3801,4.8,804,6.7,1126,,,,,88.5,"14,947","16,877"
2019-08-26,Monday,6:45,76.4,11174,16.7,2440,1.3,195,5.5,805,,,,,93.1,"13,614","14,614"
2019-08-26,Monday,12:45,63.6,11159,17.8,3129,6.3,1100,10.3,1819,2.0,348,0.2,27,81.4,"14,288","17,582"
2019-08-26,Monday,20:45,62.1,11114,21.2,3783,3.4,617,13.0,2331,,,0.2,29,83.3,"14,897","17,874"
2019-08-27,Tuesday,6:45,74.5,11077,15.5,2303,1.3,190,8.6,1281,,,0.1,21,90.0,"13,380","14,872"
2019-08-27,Tuesday,12:45,60.8,11040,19.0,3451,8.1,1472,11.2,2025,0.7,131,0.2,40,79.8,"14,491","18,159"
2019-08-27,Tuesday,20:45,62.2,11054,22.0,3900,8.7,1550,6.8,1215,,,0.2,37,84.2,"14,954","17,756"
2019-08-28,Wednesday,6:45,77.0,11065,16.2,2327,1.6,230,4.9,705,,,0.3,38,93.2,"13,392","14,365"
2019-08-28,Wednesday,13:45,16.1,10916,17.7,3171,6.5,1165,12.8,2284,1.7,300,0.2,35,78.8,"14,087","17,871"
2019-08-28,Wednesday,20:45,59.8,11019,20.4,3763,6.5,1194,13.0,2387,,,0.2,46,80.2,"14,782","18,409"
2019-08-29,Thursday,6:45,77.6,11063,15.6,2227,1.3,189,5.3,754,,,0.2,29,93.2,"13,290","14,262"
2019-08-29,Thursday,10:45,69.6,11081,21.7,3458,3.4,538,3.5,556,1.5,244,0.2,39,91.3,"14,539","15,916"
2019-08-29,Thursday,20:45,59.4,11044,22.1,4119,3.3,617,15.0,2781,,,0.1,27,81.5,"15,163","18,588"
2019-08-30,Friday,6:45,73.8,11131,17.7,2675,1.3,195,7.0,1063,,,,,91.5,"13,806","14,884"
2019-08-30,Friday,14:45,65.3,11184,19.2,3291,3.5,606,9.8,1683,1.9,326,0.2,26,84.5,"14,475","17,116"
2019-08-30,Friday,20:45,66.2,11241,24.8,4208,5.9,1006,2.8,475,,,0.2,27,91.0,"15,449","16,957"
2019-08-31,Saturday,6:45,77.9,11247,16.3,2352,0.8,118,5.0,723,,,,,94.2,"13,599","14,440"
2019-08-31,Saturday,12:45,73.7,11317,21.6,3313,0.8,120,1.5,235,2.4,372,,,95.3,"14,630","15,357"
2019-08-31,Saturday,20:45,73.3,11214,24.6,3766,0.8,120,1.2,187,,,,,97.9,"14,980","15,287"
2019-09-01,Sunday,6:45,80.2,11319,16.7,2358,0.8,118,2.2,313,,,,,96.9,"13,677","14,108"
2019-09-01,Sunday,12:45,73.5,11243,23.2,3550,0.8,120,1.1,170,1.4,220,,,96.7,"14,793","15,303"
2019-09-01,Sunday,20:45,73.4,11233,24.9,3818,0.8,121,0.9,133,,,,,98.3,"15,051","15,305"
2019-09-02,Monday,7:45,75.2,10807,20.8,2992,0.8,120,3.1,444,,,,,96.0,"13,799","14,363"
2019-09-02,Monday,14:45,72.5,11101,21.2,3240,2.4,369,2.0,309,1.9,291,,,93.7,"14,341","15,310"
2019-09-02,Monday,20:45,68.8,11081,25.5,4102,3.3,531,2.3,373,,,,,94.3,"15,310","16,087"
2019-09-03,Tuesday,6:45,79.8,11046,16.9,2345,0.8,117,2.3,325,,,,,96.7,"13,391","13,833"
2019-09-03,Tuesday,12:45,64.4,10956,19.9,3378,4.1,700,9.6,1633,1.9,317,0.2,27,84.3,"14,334","17,011"
2019-09-03,Tuesday,20:45,59.6,10644,21.5,3836,4.9,879,13.9,2475,,,0.1,26,81.1,"14,480","17,860"
2019-09-04,Wednesday,6:45,69.5,10606,14.8,2266,1.2,183,14.4,2194,,,,,84.3,"12,872","15,249"
2019-09-04,Wednesday,12:45,63.5,10526,19.8,3277,2.3,379,12.7,2104,1.6,271,0.2,30,83.3,"13,803","16,587"
2019-09-04,Wednesday,20:45,64.2,10741,24.7,4139,8.2,1378,2.7,445,,,0.2,27,88.9,"14,880","16,730"
2019-09-05,Thursday,6:45,77.5,10712,19.3,2665,1.9,262,1.2,165,,,,,96.8,"13,377","13,804"
2019-09-05,Thursday,16:45,68.3,10714,20.3,3182,8.3,1299,0.8,128,2.2,346,0.2,27,88.6,"13,896","15,694"
2019-09-05,Thursday,20:45,63.1,10716,24.6,4177,11.8,2004,0.4,60,,,0.2,27,87.7,"14,893","16,984"
2019-09-06,Friday,6:45,75.3,10775,20.8,2970,2.6,369,1.3,179,,,,,96.1,"13,745","14,293"
2019-09-06,Friday,12:45,66.7,10712,21.4,3430,9.7,1566,0.5,81,1.5,247,0.2,27,88.1,"14,142","16,063"
2019-09-06,Friday,20:45,66.7,10730,26.2,4214,6.2,1004,0.6,101,,,0.2,27,92.9,"14,944","16,076"
2019-09-07,Saturday,7:45,80.1,10684,18.1,2412,0.8,109,1.0,140,,,,,98.2,"13,096","13,345"
2019-09-07,Saturday,12:45,71.7,10698,20.4,3047,0.7,108,5.4,802,1.8,267,,,92.1,"13,745","14,922"
