Date,Day,Hour,Nuclear %,Nuclear MW,Hydro %,Hydro MW,Gas %,Gas MW,Wind %,Wind MW,Solar %,Solar MW,Biofuel %,Biofuel MW,Nuc.+Hyd. %,Nuc.+Hyd. MW,Total MW
2018-12-17,Monday,6:45,61.6,9907,19.4,3118,1.6,262,17.2,2772,0.0,,,,81.0,"13,025","16,059"
2018-12-17,Monday,13:45,53.0,9913,25.3,4739,7.0,1308,14.4,2690,0.1,27,,,78.3,"14,652","18,677"
2018-12-17,Monday,20:45,53.0,9936,23.8,4465,8.7,1636,14.3,2679,0.0,,0.1,27,76.8,"14,401","18,743"
2018-12-18,Tuesday,6:45,62.9,9926,23.5,3713,7.6,1199,5.9,929,0.0,,,,86.4,"13,639","15,767"
2018-12-18,Tuesday,13:45,59.4,9935,24.7,4125,12.7,2121,1.3,225,1.8,294,0.2,27,84.1,"14,060","16,727"
2018-12-18,Tuesday,20:45,52.5,9960,28.7,5443,14.2,2701,4.5,858,0.0,,0.1,27,81.2,"15,403","18,989"
2018-12-19,Wednesday,7:45,57.7,9985,22.7,3930,7.4,1277,11.8,2050,0.0,,0.4,61,80.4,"13,915","17,303"
2018-12-19,Wednesday,13:45,56.5,9973,22.1,3902,10.5,1848,9.9,1743,0.9,158,0.2,41,78.6,"13,875","17,665"
2018-12-19,Wednesday,20:45,51.6,9608,27.2,5061,7.3,1368,13.7,2558,0.0,,0.1,27,78.8,"14,669","18,622"
2018-12-20,Thursday,6:45,61.8,9771,24.2,3831,5.1,654,9.7,1527,0.0,,,,86.0,"13,602","15,783"
2018-12-20,Thursday,15:45,58.2,9779,27.6,4628,11.9,2004,1.9,325,0.2,29,0.2,26,85.8,"14,407","16,791"
2018-12-20,Thursday,20:45,53.8,9783,29.8,5421,9.6,1752,6.5,1185,0.0,,0.1,27,83.6,"15,204","18,168"
2018-12-21,Friday,6:45,63.2,9780,20.7,3196,1.6,254,14.3,2219,0.0,,,,83.9,"12,976","15,449"
2018-12-21,Friday,13:45,57.9,9777,24.7,4172,1.3,215,15.9,2679,0.2,27,0.2,27,82.6,"13,949","16,897"
2018-12-21,Friday,21:45,54.0,9966,28.1,5185,1.6,293,16.2,2981,0.0,,0.1,26,82.1,"15,151","18,451"
2018-12-22,Saturday,     8:45,58.7,10166,24.9,4307,2.0,351,14.4,2493,0.0,,,,83.6,"14,473","17,317"
2018-12-22,Saturday,12:45,57.4,10259,25.7,4597,6.0,1077,10.7,1919,0.0,,,,83.1,"14,856","17,852"
2018-12-22, Saturday,20:45,58.2,10512,32.2,5822,6.7,1211,2.9,525,0.0,,,,90.4,"16,334","18,070"
2018-12-23,Sunday,8:45,69.5,10717,26.0,4010,2.2,338,2.3,258,0.0,,,,95.5,"14,727","15,423"
2018-12-23,Sunday,13:45,61.2,10720,27.9,4884,8.6,1515,2.0,355,0.3,56,,,89.1,"15,604","17,530"
2018-12-23,Sunday,20:45,60.4,10776,31.9,5690,4.6,791,3.3,570,0.0,,,,92.3,"16,466","17,307"
2018-12-24,Monday,12:45,60.1,10802,23.2,4178,2.6,463,13.7,2460,0.3,45,0.2,27,83.3,"14,980","17,975"
2018-12-24,Monday,20:45,60.0,10868,27.3,4943,6.0,1090,6.5,1177,0.0,,0.1,27,87.3,"15,811","18,105"
2018-12-25,Tuesday,8:45,71.5,10985,25.8,3964,1.7,267,0.9,141,0.0,,,,97.3,"14,949","15,357"
2018-12-25,Tuesday,13:45,69.9,11015,26.2,4134,1.7,264,1.7,269,0.5,78,,,96.1,"15,149","15,760"
2018-12-25,Tuesday,20:45,65.4,11006,32.0,5381,1.6,266,1.1,178,0.0,,,,97.4,"16,387","16,837"
2018-12-26,Wednesday,8:45,69.6,11013,26.6,4110,1.7,266,2.7,429,0.0,,,,96.2,"15,123","15,818"
2018-12-26,Wednesday,13:45,69.0,11001,25.3,4031,2.9,462,2.1,331,0.6,102,,,94.3,"15,032","15,927"
